Date,Start,End
2015-12-31,449,487
2016-12-31,387,405
2017-12-31,354,391
2018-12-31,308,321
2019-12-31,275,262
2020-12-31,253,265
2021-12-31,226,230
2022-12-31,192,194
2023-12-31,180,184
2024-12-31,153,164
2025-12-31,131,134
2026-12-31,114,118
2027-12-31,98,106
2028-12-31,85,84
2029-12-31,76,76
2030-12-31,69,69
2031-12-31,64,62
2032-12-31,63,63
2033-12-31,59,54
2034-12-31,50,49
2035-12-31,43,44
2036-12-31,38,42
2037-12-31,37,36
2038-12-31,31,33
2039-12-31,27,28
2040-12-31,23,25
2041-12-31,21,21
2042-12-31,20,21
2043-12-31,18,17
2044-12-31,17,17
2045-12-31,15,15
2046-12-31,14,15
2047-12-31,13,12
2048-12-31,13,12
2049-12-31,11,12
2050-12-31,11,11
2051-12-31,10,11
2052-12-31,8,8
2053-12-31,8,7
2054-12-31,8,7
2055-12-31,7,6
2056-12-31,6,6
2057-12-31,5,6
2058-12-31,5,5
2059-12-31,4,5
2060-12-31,4,4
2061-12-31,4,3
2062-12-31,3,4
2063-12-31,3,3
2064-12-31,3,3
2065-12-31,2,3
2066-12-31,2,2
2067-12-31,2,2
2068-12-31,2,1
2069-12-31,1,1
2070-12-31,1,1
2071-12-31,1,1
2072-12-31,1,1
2073-12-31,1,1
2074-12-31,1,1
2075-12-31,1,1
2076-12-31,1,1
2077-12-31,1,1
2078-12-31,1,1
2079-12-31,1,1
2080-12-31,0,0
2081-12-31,0,0
2082-12-31,0,0
2083-12-31,0,0
2084-12-31,0,0
2085-12-31,0,0
2086-12-31,0,0
2087-12-31,0,0
2088-12-31,0,0
2089-12-31,0,0
2090-12-31,0,0
2091-12-31,0,0
2092-12-31,0,0
2093-12-31,0,0
2094-12-31,0,0
2095-12-31,0,0
2096-12-31,0,0
2097-12-31,0,0
2098-12-31,0,0
2099-12-31,0,0
2100-12-31,0,0
2101-12-31,0,0
2102-12-31,0,0
2103-12-31,0,0
2104-12-31,0,0
2105-12-31,0,0
2106-12-31,0,0
2107-12-31,0,0
2108-12-31,0,0
2109-12-31,0,0
2110-12-31,0,0
2111-12-31,0,0
2112-12-31,0,0
2113-12-31,0,0
2114-12-31,0,0
2115-12-31,0,0
2116-12-31,0,0
2117-12-31,0,0
2118-12-31,0,0
2119-12-31,0,0
2120-12-31,0,0
2121-12-31,0,0
2122-12-31,0,0
2123-12-31,0,0
2124-12-31,0,0
2125-12-31,0,0
2126-12-31,0,0
2127-12-31,0,0
2128-12-31,0,0
2129-12-31,0,0
2130-12-31,0,0
2131-12-31,0,0
2132-12-31,0,0
2133-12-31,0,0
2134-12-31,0,0
2135-12-31,0,0
2136-12-31,0,0
2137-12-31,0,0
2138-12-31,0,0
2139-12-31,0,0
2140-12-31,0,0
2141-12-31,0,0
2142-12-31,0,0
2143-12-31,0,0
2144-12-31,0,0
2145-12-31,0,0
2146-12-31,0,0
2147-12-31,0,0
2148-12-31,0,0
2149-12-31,0,0
2150-12-31,0,0
2151-12-31,0,0
2152-12-31,0,0
2153-12-31,0,0
2154-12-31,0,0
2155-12-31,0,0
2156-12-31,0,0
2157-12-31,0,0
2158-12-31,0,0
2159-12-31,0,0
2160-12-31,0,0
2161-12-31,0,0
2162-12-31,0,0
2163-12-31,0,0
2164-12-31,0,0
2165-12-31,0,0
2166-12-31,0,0
2167-12-31,0,0
2168-12-31,0,0
2169-12-31,0,0
2170-12-31,0,0
2171-12-31,0,0
2172-12-31,0,0
2173-12-31,0,0
2174-12-31,0,0
2175-12-31,0,0
2176-12-31,0,0
2177-12-31,0,0
2178-12-31,0,0
2179-12-31,0,0
2180-12-31,0,0
2181-12-31,0,0
2182-12-31,0,0
2183-12-31,0,0
2184-12-31,0,0
2185-12-31,0,0
2186-12-31,0,0
2187-12-31,0,0
2188-12-31,0,0
2189-12-31,0,0
2190-12-31,0,0
2191-12-31,0,0
2192-12-31,0,0
2193-12-31,0,0
2194-12-31,0,0
2195-12-31,0,0
2196-12-31,0,0
2197-12-31,0,0
2198-12-31,0,0
2199-12-31,0,0
2200-12-31,0,0
2201-12-31,0,0
2202-12-31,0,0
2203-12-31,0,0
2204-12-31,0,0
2205-12-31,0,0
2206-12-31,0,0
2207-12-31,0,0
2208-12-31,0,0
2209-12-31,0,0
2210-12-31,0,0
2211-12-31,0,0
2212-12-31,0,0
2213-12-31,0,0
2214-12-31,0,0
