Date,Start,End
2015-12-31,500,507
2016-12-31,523,520
2017-12-31,537,546
2018-12-31,560,562
2019-12-31,579,581
2020-12-31,594,587
2021-12-31,602,616
2022-12-31,610,596
2023-12-31,640,650
2024-12-31,670,668
2025-12-31,690,689
2026-12-31,699,682
2027-12-31,727,747
2028-12-31,750,742
2029-12-31,773,758
2030-12-31,796,808
2031-12-31,801,824
2032-12-31,828,851
2033-12-31,845,843
2034-12-31,849,838
2035-12-31,851,863
2036-12-31,886,861
2037-12-31,906,898
2038-12-31,949,963
2039-12-31,988,986
2040-12-31,1033,1058
2041-12-31,1050,1034
2042-12-31,1065,1070
2043-12-31,1076,1044
2044-12-31,1086,1084
2045-12-31,1140,1120
2046-12-31,1153,1186
2047-12-31,1174,1186
2048-12-31,1220,1234
2049-12-31,1254,1232
2050-12-31,1302,1265
2051-12-31,1321,1287
2052-12-31,1357,1393
2053-12-31,1385,1420
2054-12-31,1433,1468
2055-12-31,1457,1460
2056-12-31,1492,1490
2057-12-31,1554,1575
2058-12-31,1599,1617
2059-12-31,1617,1584
2060-12-31,1692,1643
2061-12-31,1748,1762
2062-12-31,1751,1756
2063-12-31,1802,1753
2064-12-31,1861,1853
2065-12-31,1900,1930
2066-12-31,1979,2031
2067-12-31,2033,2091
2068-12-31,2050,1998
2069-12-31,2124,2151
2070-12-31,2158,2136
2071-12-31,2219,2254
2072-12-31,2222,2194
2073-12-31,2256,2248
2074-12-31,2342,2315
2075-12-31,2455,2451
2076-12-31,2503,2530
2077-12-31,2611,2575
2078-12-31,2695,2669
2079-12-31,2800,2831
2080-12-31,2828,2778
2081-12-31,2898,2875
2082-12-31,3026,2937
2083-12-31,3077,3071
2084-12-31,3196,3280
2085-12-31,3283,3376
2086-12-31,3311,3305
2087-12-31,3383,3478
2088-12-31,3439,3417
2089-12-31,3458,3406
2090-12-31,3605,3533
2091-12-31,3623,3721
2092-12-31,3778,3842
2093-12-31,3915,3812
2094-12-31,3958,3930
2095-12-31,3989,4096
2096-12-31,4093,4160
2097-12-31,4146,4213
2098-12-31,4198,4189
2099-12-31,4288,4258
2100-12-31,4387,4443
2101-12-31,4391,4377
2102-12-31,4411,4486
2103-12-31,4426,4429
2104-12-31,4618,4612
2105-12-31,4829,4918
2106-12-31,4920,5058
2107-12-31,4997,4890
2108-12-31,5066,5136
2109-12-31,5112,5108
2110-12-31,5224,5355
2111-12-31,5399,5316
2112-12-31,5620,5704
2113-12-31,5844,5770
2114-12-31,6089,5976
2115-12-31,6341,6407
2116-12-31,6511,6662
2117-12-31,6640,6482
2118-12-31,6869,6724
2119-12-31,6973,7093
2120-12-31,7129,7330
2121-12-31,7220,7420
2122-12-31,7404,7236
2123-12-31,7509,7569
2124-12-31,7763,7945
2125-12-31,7787,7797
2126-12-31,7932,7868
2127-12-31,8195,8242
2128-12-31,8505,8370
2129-12-31,8786,8736
2130-12-31,9110,9365
2131-12-31,9427,9322
2132-12-31,9628,9345
2133-12-31,10049,9997
2134-12-31,10203,10020
2135-12-31,10603,10558
2136-12-31,10944,10960
2137-12-31,11476,11790
2138-12-31,11603,11388
2139-12-31,11609,11511
2140-12-31,11709,11497
2141-12-31,11777,11848
2142-12-31,12047,12272
2143-12-31,12403,12639
2144-12-31,12530,12241
2145-12-31,13114,12736
2146-12-31,13343,13575
2147-12-31,13516,13796
2148-12-31,14076,14118
2149-12-31,14585,14530
2150-12-31,14633,14927
2151-12-31,14702,14523
2152-12-31,15116,15518
2153-12-31,15400,15802
2154-12-31,15806,15909
2155-12-31,15969,16381
2156-12-31,16265,16040
2157-12-31,16286,16551
2158-12-31,16717,16440
2159-12-31,17444,17374
2160-12-31,17855,18233
2161-12-31,18392,18627
2162-12-31,19147,18620
2163-12-31,19306,19651
2164-12-31,20093,20484
2165-12-31,20791,20927
2166-12-31,21234,20959
2167-12-31,21337,21514
2168-12-31,21717,21923
2169-12-31,22432,23047
2170-12-31,22970,23468
2171-12-31,23656,23498
2172-12-31,24670,24574
2173-12-31,24755,25004
2174-12-31,25615,26096
2175-12-31,26392,26960
2176-12-31,26768,26268
2177-12-31,27242,26746
2178-12-31,28308,28431
2179-12-31,29562,30256
2180-12-31,29599,29869
2181-12-31,30018,29846
2182-12-31,30229,30904
2183-12-31,30723,30749
2184-12-31,31041,30117
2185-12-31,31067,31520
2186-12-31,31131,30248
2187-12-31,31243,31304
2188-12-31,32603,32137
2189-12-31,33406,33030
2190-12-31,34197,34605
2191-12-31,35286,36142
2192-12-31,36268,35294
2193-12-31,37389,37524
2194-12-31,38124,38852
2195-12-31,38641,38375
2196-12-31,39870,40515
2197-12-31,41860,42884
2198-12-31,43149,43194
2199-12-31,44515,45760
2200-12-31,46010,44777
2201-12-31,46185,47415
2202-12-31,48214,47664
2203-12-31,48225,48408
2204-12-31,49133,48629
2205-12-31,49231,49805
2206-12-31,50261,50205
2207-12-31,50339,49630
2208-12-31,50560,49668
2209-12-31,52733,52411
2210-12-31,54361,53458
2211-12-31,55543,56940
2212-12-31,56266,55221
2213-12-31,56689,56723
2214-12-31,59297,57755
